EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:06:27,520	00:06:34,560	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Transition that actors like Steve McQueen did where they were able to make that jump and have these sort of amazing careers
EDL	00:06:34,560	00:06:36,840	| https://www.youtube.com/watch?v=h_W12HmsIMY |	He's he's stuck in this rut
EDL	00:06:36,840	00:06:40,740	| https://www.youtube.com/watch?v=h_W12HmsIMY |	And you know, it's what's what's so interesting is you know
EDL	00:06:40,740	00:06:46,650	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Quinton puts all of this in the sort of two-day time span and then he gave this amazing backstory to all of us
EDL	00:06:46,650	00:06:51,600	| https://www.youtube.com/watch?v=h_W12HmsIMY |	but so much of these characters and what they're going through emotionally in this transition that Rick Dalton is going through
EDL	00:06:51,600	00:06:51,970	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.4 secs ]
EDL	00:06:51,970	00:06:53,160	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Accepting his sort of faith
EDL	00:06:53,160	00:06:57,450	| https://www.youtube.com/watch?v=h_W12HmsIMY |	But also realizing that if he gives a little more and tries a little harder and stops
EDL	00:06:57,450	00:06:57,850	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.4 secs ]
EDL	00:06:57,850	00:07:00,000	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Feeling so damn. Sorry for himself there
EDL	00:07:00,000	00:07:02,260	| https://www.youtube.com/watch?v=h_W12HmsIMY |	there are some possibilities out there but
EDL	00:07:02,260	00:07:05,410	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Was so great was was to be able to have all that knowledge
EDL	00:07:05,410	00:07:09,900	| https://www.youtube.com/watch?v=h_W12HmsIMY |	And all that wealth of our back stories in this to day life timespan, you know
EDL	00:07:09,900	00:07:15,269	| https://www.youtube.com/watch?v=h_W12HmsIMY |	and how did you prepare to play an active fill of self-doubt is that it was a reach I think that
EDL	00:07:15,269	00:07:20,860	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 5.6 secs ]
EDL	00:07:20,860	00:07:22,979	| https://www.youtube.com/watch?v=h_W12HmsIMY |	There's not an actor out there that would not
EDL	00:07:22,979	00:07:26,200	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 3.2 secs ]
EDL	00:07:26,200	00:07:33,149	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Twelve headed hydro come out. I wasn't thinking on you particularly right and Brad you play

Brad: 

EDL	00:07:33,149	00:07:34,510	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.4 secs ]
EDL	00:07:34,510	00:07:40,260	| https://www.youtube.com/watch?v=h_W12HmsIMY |	You play a stunt man. He was essentially in a different era. We would essentially be the Batman really two layers character
EDL	00:07:40,260	00:07:42,839	| https://www.youtube.com/watch?v=h_W12HmsIMY |	not the not the cartoon character, but the you know the
EDL	00:07:42,839	00:07:43,600	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.8 secs ]
EDL	00:07:43,600	00:07:48,360	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Assistant is is the guy that fixes things for the Gopher. Yes
EDL	00:07:48,360	00:07:52,559	| https://www.youtube.com/watch?v=h_W12HmsIMY |	I didn't want to say what was you tell us a little bit about about your character?
EDL	00:07:52,559	00:07:53,110	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.6 secs ]
EDL	00:07:53,110	00:07:54,750	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Just that, you know
EDL	00:07:54,750	00:08:01,360	| https://www.youtube.com/watch?v=h_W12HmsIMY |	They they come from this era when when an actor and a stuntman were had a greater partnership and had more
EDL	00:08:01,360	00:08:05,279	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Say on what was going to be in the film. You know, what the
EDL	00:08:05,279	00:08:06,070	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.8 secs ]
EDL	00:08:06,070	00:08:08,070	| https://www.youtube.com/watch?v=h_W12HmsIMY |	what would take place in the scene and
EDL	00:08:08,070	00:08:09,970	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.9 secs ]
EDL	00:08:09,970	00:08:15,029	| https://www.youtube.com/watch?v=h_W12HmsIMY |	And at this point, we're on the tail end I say we because I'm on his coattails
EDL	00:08:15,029	00:08:15,610	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.6 secs ]
EDL	00:08:15,610	00:08:20,400	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Might I have a job if Rick Dalton has a job and if Rick Dolan doesn't have a job
EDL	00:08:20,400	00:08:27,900	| https://www.youtube.com/watch?v=h_W12HmsIMY |	I probably don't but I've been he's he's he's kindly hired me to you know work odd jobs. And so I am
EDL	00:08:27,900	00:08:28,960	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.1 secs ]
EDL	00:08:28,960	00:08:35,580	| https://www.youtube.com/watch?v=h_W12HmsIMY |	I'm doing I'm doing whatever he needs and you have one of the film's most there's like almost like a five minute sequence
EDL	00:08:35,580	00:08:40,020	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Where you feed a dog, essentially which doesn't sound that exciting. Yeah, that's the best
EDL	00:08:40,020	00:08:40,539	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]
EDL	00:08:40,539	00:08:42,539	| https://www.youtube.com/watch?v=h_W12HmsIMY |	pet feeding sequence
EDL	00:08:42,539	00:08:43,270	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.7 secs ]
EDL	00:08:43,270	00:08:44,300	| https://www.youtube.com/watch?v=h_W12HmsIMY |	since
EDL	00:08:44,300	00:08:47,930	| https://www.youtube.com/watch?v=h_W12HmsIMY |	The Long Goodbye, basically when he's getting the carry brown cat force
EDL	00:08:47,930	00:08:48,269	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.3 secs ]
EDL	00:08:48,269	00:08:51,320	| https://www.youtube.com/watch?v=h_W12HmsIMY |	But what I'd like to read that there was that fun to do that, you know
EDL	00:08:51,320	00:08:55,039	| https://www.youtube.com/watch?v=h_W12HmsIMY |	This is just you and a dog in the trail. I cannot take any credit for that
EDL	00:08:55,039	00:08:56,390	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.4 secs ]
EDL	00:08:56,390	00:08:58,390	| https://www.youtube.com/watch?v=h_W12HmsIMY |	it's very, you know a
EDL	00:08:58,390	00:08:58,890	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]
EDL	00:08:58,890	00:09:04,429	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Ken Quentin's constructed this two days in a life for what becomes two and a half days, I guess ultimately
EDL	00:09:04,429	00:09:05,070	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.6 secs ]
EDL	00:09:05,070	00:09:08,659	| https://www.youtube.com/watch?v=h_W12HmsIMY |	But two days in the life of these characters at different Stratos
EDL	00:09:08,659	00:09:09,390	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.7 secs ]
EDL	00:09:09,390	00:09:13,609	| https://www.youtube.com/watch?v=h_W12HmsIMY |	of their of their careers and and in life in Hollywood and
EDL	00:09:13,609	00:09:17,070	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 3.5 secs ]
EDL	00:09:17,070	00:09:19,070	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Where was I heading with that?
EDL	00:09:19,070	00:09:20,160	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 1.1 secs ]
EDL	00:09:20,160	00:09:22,160	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Things I like about that scene is
EDL	00:09:22,160	00:09:22,829	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.7 secs ]
EDL	00:09:22,829	00:09:28,459	| https://www.youtube.com/watch?v=h_W12HmsIMY |	So you see he turns on the TV Mannix is playing and the opening of Mannix plays as he does everything
EDL	00:09:28,459	00:09:31,279	| https://www.youtube.com/watch?v=h_W12HmsIMY |	I like the fact that the Mannix theme song
EDL	00:09:31,279	00:09:31,829	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.5 secs ]
EDL	00:09:31,829	00:09:33,829	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Starts feeling like the cliff theme
EDL	00:09:33,829	00:09:36,839	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 3.0 secs ]
EDL	00:09:36,839	00:09:39,739	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Show I mean my that was my dad's favorite shows
EDL	00:09:39,739	00:09:41,910	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 2.2 secs ]
EDL	00:09:41,910	00:09:43,910	| https://www.youtube.com/watch?v=h_W12HmsIMY |	It was always in there
EDL	00:09:43,910	00:09:44,310	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.4 secs ]
EDL	00:09:44,310	00:09:45,630	| https://www.youtube.com/watch?v=h_W12HmsIMY |	What are they?
EDL	00:09:45,630	00:09:52,789	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Pushing over him to say. Yes Oh Maddox is this show and we lived a few streets over from the neighborhood drive-in and
EDL	00:09:52,789	00:09:53,579	| https://www.youtube.com/watch?v=h_W12HmsIMY |	[ SPACE 0.8 secs ]
EDL	00:09:53,579	00:09:57,409	| https://www.youtube.com/watch?v=h_W12HmsIMY |	Would hop over at our friends house to watch the wants to drive into the backyard
